"SampleID","Upper rhombic lip","Splatter","Lower rhombic lip","Mammillary body","Thalamic excitatory","Amygdala excitatory","Medium spiny neuron","Eccentric medium spiny neuron","Miscellaneous","Cerebellar inhibitory","Midbrain-derived inhibitory","CGE interneuron","LAMP5-LHX6 and Chandelier","MGE interneuron","Deep-layer near-projecting","Deep-layer corticothalamic and 6b","Hippocampal CA1-3","Upper-layer intratelencephalic","Deep-layer intratelencephalic","Hippocampal dentate gyrus","Hippocampal CA4","oligodendrocyte","astrocyte","Bergmann glial cell","oligodendrocyte precursor cell","ependymal cell","choroid plexus epithelial cell","fibroblast","pericyte","vascular associated smooth muscle cell","endothelial cell","central nervous system macrophage"
"GTEX-111FC-0426-SM-5N9CV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GTEX-111FC-0526-SM-5GZZ8",0,0,0,0,0.0201631996265062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979836800373494,0,0,0,0,0,0
"GTEX-111FC-0626-SM-5N9CU",0,0,0,0,0.0203313744100796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97966862558992,0,0,0,0,0,0
"GTEX-111FC-0826-SM-5GZWO",0,0,0,0,0.0253277299108559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974672270089144,0,0,0,0,0,0
"GTEX-111FC-1026-SM-5GZX1",0,0,0,0,0.032401483243501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967598516756499,0,0,0,0,0,0
"GTEX-111FC-1126-SM-5GZWU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GTEX-111FC-1326-SM-5N9D9",0,0,0,0,0.0158380806131003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9841619193869,0,0,0,0,0,0
"GTEX-111FC-1926-SM-5GZYC",0,0,0,0,0.0341710026029571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965828997397043,0,0,0,0,0,0
"GTEX-111FC-2026-SM-5GZYO",0,0,0,0,0.0150943248991243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984905675100876,0,0,0,0,0,0
"GTEX-111FC-2526-SM-5GZXU",0,0,0,0,0.0420668742025444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957933125797456,0,0,0,0,0,0
"GTEX-111FC-2926-SM-5GZY7",0,0,0,0,0.0399155952618469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960084404738153,0,0,0,0,0,0
"GTEX-111FC-3126-SM-5GZZ2",0,0,0,0,0.0202678217212518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979732178278748,0,0,0,0,0,0
"GTEX-111FC-3326-SM-5GZYV",0,0,0,0,0.0258530088620583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974146991137942,0,0,0,0,0,0
"GTEX-111VG-0008-SM-5Q5BG",0,0,0,0,0.0324157484798402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96758425152016,0,0,0,0,0,0
"GTEX-111VG-0326-SM-5GZX7",0,0,0,0,0.0383591487184055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961640851281594,0,0,0,0,0,0
"GTEX-111VG-0526-SM-5N9BW",0,0,0,0,0.0398958397164619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960104160283538,0,0,0,0,0,0
"GTEX-111VG-0726-SM-5GIDC",0,0,0,0,0.00545045864184636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848656396750577,0,0,0,0.145893144607577,0,0
"GTEX-111VG-1626-SM-5EGIO",0,0,0,0,0.0639959009277147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936004099072285,0,0,0,0,0,0
"GTEX-111VG-1926-SM-5GIDO",0,0,0,0,0.0253256998456963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974674300154304,0,0,0,0,0,0
"GTEX-111VG-2226-SM-5N9DU",0,0,0,0,0.0262238709025088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973776129097491,0,0,0,0,0,0
"GTEX-111VG-2326-SM-5N9BK",0,0,0,0,0.0495852482091809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950414751790819,0,0,0,0,0,0
"GTEX-111VG-2426-SM-5GZXD",0,0,0,0,0.0515919606657304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94840803933427,0,0,0,0,0,0
"GTEX-111VG-2526-SM-5GZXP",0,0,0,0,0.0299216431708984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970078356829101,0,0,0,0,0,0
"GTEX-111VG-2626-SM-5GZY2",0,0,0,0,0.0675302045759111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932469795424089,0,0,0,0,0,0
"GTEX-111YS-0006-SM-5NQBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561091281518735,0,0,0,0.183920107749846,0,0.254988610731419
"GTEX-111YS-0008-SM-5Q5BH",0,0,0,0,0.0275739236923684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972426076307632,0,0,0,0,0,0
"GTEX-111YS-0126-SM-5987T",0,0,0,0,0.0465803367575537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953419663242446,0,0,0,0,0,0
"GTEX-111YS-0326-SM-5GZZ3",0,0,0,0,0.0454279008075591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954572099192441,0,0,0,0,0,0
"GTEX-111YS-0426-SM-5987O",0,0,0,0,0.0515692617905509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948430738209449,0,0,0,0,0,0
"GTEX-111YS-0526-SM-5GZXJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364801833729247,0,0,0,0.635198166270753,0,0
"GTEX-111YS-0626-SM-5GZXV",0,0,0,0,0.0225221641536636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977477835846336,0,0,0,0,0,0
"GTEX-111YS-0726-SM-5GZY8",0,0,0,0,0.0421593029458617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957840697054138,0,0,0,0,0,0
"GTEX-111YS-0826-SM-5GZYK",0,0,0,0,0.0340915962559374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965908403744063,0,0,0,0,0,0
"GTEX-111YS-0926-SM-5EGGI",0,0,0,0,0.044772023807595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955227976192405,0,0,0,0,0,0
"GTEX-111YS-1026-SM-5GZYE",0,0,0,0,0.0289359988629548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971064001137045,0,0,0,0,0,0
"GTEX-111YS-1126-SM-5GZYQ",0,0,0,0,0.0348036576610008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965196342338999,0,0,0,0,0,0
"GTEX-111YS-1226-SM-5EGGJ",0,0,0,0,0.0217840876298311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978215912370169,0,0,0,0,0,0
"GTEX-111YS-1326-SM-5EGGK",0,0,0,0,0.0257555655021157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974244434497884,0,0,0,0,0,0
"GTEX-111YS-1426-SM-5GID8",0,0,0,0,0.0611236517562806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938876348243719,0,0,0,0,0,0
"GTEX-111YS-1526-SM-5GZYW",0,0,0,0,0.0473812651192365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952618734880764,0,0,0,0,0,0
"GTEX-111YS-1626-SM-5GZZ9",0,0,0,0,0.0311313258984787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968868674101521,0,0,0,0,0,0
"GTEX-111YS-1726-SM-5GIED",0,0,0,0,0.0309193100919316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969080689908068,0,0,0,0,0,0
"GTEX-111YS-1826-SM-5GIEP",0,0,0,0,0.029745947982333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970254052017667,0,0,0,0,0,0
"GTEX-111YS-1926-SM-5GICC",0,0,0,0,0.0281062515426414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971893748457359,0,0,0,0,0,0
"GTEX-111YS-2026-SM-5EGGL",0,0,0,0,0.0288423722367367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971157627763263,0,0,0,0,0,0
"GTEX-111YS-2126-SM-5EGGM",0,0,0,0,0.0143928636131369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985607136386863,0,0,0,0,0,0
"GTEX-111YS-2226-SM-5987P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431560518534698,0,0,0,0.568439481465302,0,0
"GTEX-111YS-2326-SM-5987L",0,0,0,0,0.0293200960965197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97067990390348,0,0,0,0,0,0
"GTEX-111YS-2426-SM-5GZZQ",0,0,0,0,0.0310855626071423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968914437392858,0,0,0,0,0,0
"GTEX-1122O-0003-SM-5Q5DL",0,0,0,0,0.0450095730866608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954990426913339,0,0,0,0,0,0
"GTEX-1122O-0005-SM-5O99J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170505277795474,0,0,0,0.122367343978996,0,0.70712737822553
"GTEX-1122O-0008-SM-5QGR2",0,0,0,0,0.0333390331397393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966660966860261,0,0,0,0,0,0
"GTEX-1122O-0126-SM-5GICA",0,0,0,0,0.0279193811939952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972080618806005,0,0,0,0,0,0
"GTEX-1122O-0226-SM-5N9DA",0,0,0,0,0.0545160046219268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945483995378073,0,0,0,0,0,0
"GTEX-1122O-0326-SM-5H124",0,0,0,0,0.0490707948269361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950929205173064,0,0,0,0,0,0
"GTEX-1122O-0426-SM-5H12G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530403313370597,0,0,0,0.469596686629403,0,0
"GTEX-1122O-0526-SM-5N9DM",0,0,0,0,0.0314980745189497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96850192548105,0,0,0,0,0,0
"GTEX-1122O-0626-SM-5N9B9",0,0,0,0,0.0419069006834366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958093099316563,0,0,0,0,0,0
"GTEX-1122O-0726-SM-5GIEV",0,0,0,0,0.0191016956242377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980898304375762,0,0,0,0,0,0
"GTEX-1122O-0826-SM-5GICV",0,0,0,0,0.04898372128189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95101627871811,0,0,0,0,0,0
"GTEX-1122O-0926-SM-9YFLC",0,0,0,0,0.0262089261480508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973791073851949,0,0,0,0,0,0
"GTEX-1122O-1026-SM-9WYSF",0,0,0,0,0.0434568206599596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95654317934004,0,0,0,0,0,0
